rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,6797,,human,"['cH1LLeR', 'zlAy']","['cH1LLeR#2698', 'zlAy#2247']","['p098', 'p089']",5,23,0,0
2,6729,,orc,"['Pitlord', 'Matlab2020a']","['Pitlord#11312', 'Matlab2020a#1309']","['p041', 'p094']",5,7,0,0
3,6587,,human,"['Henke', 'Bhutan']","['Henke#21148', 'Bhutan#2936']","['p117', 'p072']",5,62,4,0
4,6580,,human,"['狂热大胖子', 'Pitlord']","['狂热大胖子#3581', 'Pitlord#11312']","['p056', 'p041']",5,91,11,0
5,6571,,orc,"['Changer', 'Teddster']","['Changer#21493', 'Teddster#1274']","['p092', 'p036']",5,192,9,0
6,6563,,undead,"['Hsiao', 'AnbiRaq']","['Hsiao#2376', 'AnbiRaq#1927']","['p073', 'p051']",5,66,2,0
7,6550,,undead,"['azuresky', 'AnbiRaq']","['azuresky#11171', 'AnbiRaq#1927']","['p056', 'p051']",5,138,8,0
8,6543,,undead,"['sdfghjk', '狂热大胖子']","['sdfghjk#31240', '狂热大胖子#3581']","['p005', 'p056']",5,68,1,0
9,6540,,orc,"['Abracadabra', 'ltouKaiji']","['Abracadabra#11263', 'ltouKaiji#1305']","['', 'p003']",5,97,5,0
10,6507,,orc,"['Abracadabra', 'xbborkn']","['Abracadabra#11263', 'xbborkn#1415']","['', '']",5,91,5,0
11,6477,,orc,"['Abracadabra', 'fclqoal']","['Abracadabra#11263', 'fclqoal#1397']","['', 'p033']",5,156,29,0
12,6469,,undead,"['Aramis', 'Anythings']","['Aramis#21180', 'Anythings#2698']","['p072', 'p119']",5,169,12,0
13,6456,,orc,"['Reason', 'Anythings']","['Reason#21955', 'Anythings#2698']","['p103', 'p119']",5,138,11,0
14,6456,,human,"['狂热大胖子', 'AnbiRaq']","['狂热大胖子#3581', 'AnbiRaq#1927']","['p056', 'p051']",5,111,7,0
15,6451,,undead,"['Malia', 'Anythings']","['Malia#21767', 'Anythings#2698']","['', 'p119']",5,136,11,0
16,6441,,human,"['狂热大胖子', 'Pitman']","['狂热大胖子#3581', 'Pitman#11242']","['p056', 'p033']",5,126,20,0
17,6430,,night_elf,"['Maru', 'C225U']","['Maru#22407', 'C225U#1818']","['p091', 'p045']",5,358,36,0
18,6417,,human,"['Qubic', 'LilacLoa']","['Qubic#11756', 'LilacLoa#12232']","['', '']",5,32,0,0
19,6413,,night_elf,"['HaNa', 'SalamatPO']","['HaNa#31135', 'SalamatPO#3487']","['p045', '']",5,48,1,0
20,6403,,orc,"['sdfghjk', 'Rici']","['sdfghjk#31240', 'Rici#11131']","['p005', '']",5,56,5,0
21,6403,,human,"['SaysO', 'OldMateDad']","['SaysO#1534', 'OldMateDad#1638']","['', 'p039']",5,31,0,0
22,6402,,orc,"['YOOOOOOOOO', 'cH1LLeR']","['YOOOOOOOOO#21376', 'cH1LLeR#2698']","['p102', 'p098']",5,225,24,0
23,6402,,human,"['azuresky', 'LilacLoa']","['azuresky#11171', 'LilacLoa#12232']","['p056', '']",5,87,7,0
24,6391,,orc,"['sdfghjk', 'fairlady370z']","['sdfghjk#31240', 'fairlady370z#1173']","['p005', 'p029']",5,42,1,0
25,6382,,human,"['Physic', 'Boyka']","['Physic#21982', 'Boyka#22818']","['p026', 'p002']",5,32,0,0
26,6365,,night_elf,"['그냥그러네', 'NoLiet']","['그냥그러네#31268', 'NoLiet#3910']","['p090', 'p045']",5,297,54,0
27,6362,,human,"['fclqoal', 'Abracadabra']","['fclqoal#1397', 'Abracadabra#11263']","['p033', '']",5,95,11,0
28,6361,,undead,"['SaysO', 'MontuZ']","['SaysO#1534', 'MontuZ#11209']","['', 'p054']",5,67,4,0
29,6353,,human,"['zavupin', 'Boyka']","['zavupin#2993', 'Boyka#22818']","['p106', 'p002']",5,39,3,0
30,6347,,night_elf,"['Darkness', 'Nase']","['Darkness#26456', 'Nase#21778']","['p042', 'p088']",5,168,27,0
31,6338,,night_elf,"['그냥그러네', 'HaNa']","['그냥그러네#31268', 'HaNa#31135']","['p090', 'p045']",5,37,1,0
32,6323,,human,"['孟祥宇', '爱吃桔的喵']","['孟祥宇#1352', '爱吃桔的喵#1924']","['', '']",5,80,9,0
33,6302,,night_elf,"['DiOneLife', 'C225U']","['DiOneLife#2159', 'C225U#1818']","['p016', 'p045']",5,52,5,0
34,6296,,human,"['ZeaL', '그냥그러네']","['ZeaL#31431', '그냥그러네#31268']","['p034', 'p090']",5,149,12,0
35,6293,,human,"['sdfghjk', 'iLoveT1UD']","['sdfghjk#31240', 'iLoveT1UD#1542']","['p005', 'p029']",5,100,10,0
36,6291,,undead,"['LunaMainT', '패깡이']","['LunaMainT#3213', '패깡이#3150']","['', '']",5,857,200,0
37,6291,,human,"['DonSenilo', 'battleowner']","['DonSenilo#21271', 'battleowner#2177']","['p007', 'p090']",5,62,5,0
38,6276,,human,"['Hsiao', 'LilacLoa']","['Hsiao#2376', 'LilacLoa#12232']","['p073', '']",5,38,2,0
39,6269,,undead,"['Malia', 'Secret']","['Malia#21767', 'Secret#22540']","['', '']",5,45,2,0
40,6262,,night_elf,"['SaysO', 'Krazy']","['SaysO#1534', 'Krazy#11328']","['', 'p045']",5,38,5,0
41,6260,,orc,"['Sonik', 'MuscleMike']","['Sonik#21222', 'MuscleMike#11377']","['p046', '']",5,47,4,0
42,6259,,human,"['Paxa', 'LoveIyArcher']","['Paxa#21950', 'LoveIyArcher#1964']","['p121', 'p122']",5,105,12,0
43,6246,,orc,"['bnnet', 'PearlBison']","['bnnet#1794', 'PearlBison#12560']","['p081', '']",5,44,7,0
44,6243,,undead,"['Krazy', 'Po0PJacK']","['Krazy#11328', 'Po0PJacK#1539']","['p045', '']",5,35,0,0
45,6236,,human,"['davy', 'sehnsucht']","['davy#11913', 'sehnsucht#31604']","['', 'p007']",5,85,8,0
46,6233,,orc,"['DrWyverns', 'F1nroD']","['DrWyverns#3163', 'F1nroD#21974']","['p033', 'p068']",5,32,0,0
47,6231,,undead,"['bnnet', 'Pitlord']","['bnnet#1794', 'Pitlord#11312']","['p081', 'p041']",5,70,9,0
48,6228,,night_elf,"['ReaVeR', 'DarK']","['ReaVeR#2997', 'DarK#223998']","['p092', '']",5,101,8,0
49,6227,,human,"['benjiii', 'LoveIyArcher']","['benjiii#1588', 'LoveIyArcher#1964']","['p090', 'p122']",5,101,17,0
50,6218,,random,"['StarBuck', 'PaTo']","['StarBuck#2732', 'PaTo#12362']","['p110', 'p109']",5,20,0,0
51,6216,,night_elf,"['그냥그러네', 'KimChoonSik']","['그냥그러네#31268', 'KimChoonSik#3287']","['p090', '']",5,47,5,0
52,6214,,undead,"['F1nroD', 'Rici']","['F1nroD#21974', 'Rici#11131']","['p068', '']",5,194,58,0
53,6214,,undead,"['NavyHound', 'F1nroD']","['NavyHound#13509', 'F1nroD#21974']","['', 'p068']",5,82,14,0
54,6208,,random,"['monk', 'OldMateDad']","['monk#1838', 'OldMateDad#1638']","['', 'p039']",5,51,3,0
55,6203,,human,"['TP60', 'Rheinmetall']","['TP60#1751', 'Rheinmetall#11914']","['', '']",5,34,2,0
56,6200,,night_elf,"['Magrate', '刀塔必出点金']","['Magrate#21929', '刀塔必出点金#3344']","['', '']",5,25,3,0
57,6199,,orc,"['sdfghjk', 'youRangMLord']","['sdfghjk#31240', 'youRangMLord#3470']","['p005', '']",5,29,1,0
58,6199,,undead,"['Chilango', 'Anythings']","['Chilango#2420', 'Anythings#2698']","['p118', 'p119']",5,146,17,0
59,6198,,human,"['RaceBm', 'XinXinn']","['RaceBm#1261', 'XinXinn#31471']","['', '']",5,212,50,0
60,6189,,human,"['ToK', 'sehnsucht']","['ToK#11830', 'sehnsucht#31604']","['p102', 'p007']",5,36,1,0
61,6180,,human,"['vanHunt', 'OldBoy']","['vanHunt#2155', 'OldBoy#21370']","['p109', 'p119']",5,75,14,0
62,6178,,human,"['fatigue', 'AnbiRaq']","['fatigue#11453', 'AnbiRaq#1927']","['p094', 'p051']",5,153,35,0
63,6177,,random,"['TrickyHunter', 'MauveElekk']","['TrickyHunter#2149557', 'MauveElekk#21399']","['p037', '']",5,28,0,0
64,6176,,night_elf,"['IceCream', 'DanRuShui']","['IceCream#12242', 'DanRuShui#2403']","['', '']",5,159,44,0
65,6175,,undead,"['Bhutan', 'Mad']","['Bhutan#2936', 'Mad#2754']","['p072', 'p122']",5,110,16,0
66,6174,,night_elf,"['그냥그러네', 'BackToGrass']","['그냥그러네#31268', 'BackToGrass#3203']","['p090', '']",5,18,0,0
67,6166,,night_elf,"['FairyTale', 'focusxue']","['FairyTale#11746', 'focusxue#1529']","['p020', '']",5,40,2,0
68,6165,,undead,"['Chilango', 'Secret']","['Chilango#2420', 'Secret#22540']","['p118', '']",5,42,2,0
69,6162,,human,"['vanHunt', 'GoStopper']","['vanHunt#2155', 'GoStopper#2381']","['p109', 'p093']",5,132,16,0
70,6161,,orc,"['TrainY', 'MassOwn']","['TrainY#21418', 'MassOwn#1977']","['p019', 'p037']",5,59,5,0
71,6160,,random,"['cH1LLeR', 'DonSenilo']","['cH1LLeR#2698', 'DonSenilo#21271']","['p098', 'p007']",5,39,6,0
72,6158,,random,"['김춘삼', 'AAA']","['김춘삼#3932', 'AAA#34942']","['', '']",5,20,1,0
73,6156,,orc,"['Solo', 'Henke']","['Solo#23879', 'Henke#21148']","['p055', 'p117']",5,53,9,0
74,6153,,night_elf,"['팔라딘', 'Roxanne']","['팔라딘#32281', 'Roxanne#31132']","['p004', 'p017']",5,55,4,0
75,6152,,night_elf,"['Abracadabra', 'KimChoonSik']","['Abracadabra#11263', 'KimChoonSik#3287']","['', '']",5,51,5,0
76,6149,,human,"['Scars', 'Look']","['Scars#21432', 'Look#12485']","['p075', '']",5,54,5,0
77,6142,,human,"['Winter', 'RRRB']","['Winter#31540', 'RRRB#31717']","['', '']",5,61,4,0
78,6133,,orc,"['Pokey26', 'FourOnGold']","['Pokey26#1244', 'FourOnGold#1408']","['p004', '']",5,42,2,0
79,6132,,orc,"['JunGle', 'TwisteR']","['JunGle#1724', 'TwisteR#22120']","['p085', 'p109']",5,71,15,0
80,6130,,random,"['moexixi', 'LingYao']","['moexixi#3760', 'LingYao#31685']","['', '']",5,108,27,0
81,6128,,human,"['Psiqophat', 'ihavenonick']","['Psiqophat#2101', 'ihavenonick#21244']","['p034', 'p018']",5,102,17,0
82,6125,,human,"['김춘삼', '그냥그러네']","['김춘삼#3932', '그냥그러네#31268']","['', 'p090']",5,194,32,0
83,6121,,random,"['OoO', 'Genshin']","['OoO#22770', 'Genshin#21121']","['p004', 'p054']",5,44,10,0
84,6120,,night_elf,"['DIMASAX', 'Nawt']","['DIMASAX#2222', 'Nawt#21372']","['', 'p049']",5,42,5,0
85,6119,,night_elf,"['Edek', 'Muffy']","['Edek#1800', 'Muffy#2299']","['p113', 'p050']",5,17,0,0
86,6119,,random,"['Onva', 'Victory']","['Onva#1838', 'Victory#1116']","['p090', 'p112']",5,19,0,0
87,6119,,human,"['狂热大胖子', 'lendMe2500']","['狂热大胖子#3581', 'lendMe2500#3461']","['p056', '']",5,55,8,0
88,6115,,night_elf,"['Jatz', 'Pokey26']","['Jatz#2507', 'Pokey26#1244']","['', 'p004']",5,31,0,0
89,6114,,human,"['SkLiP', 'OldBoy']","['SkLiP#2306', 'OldBoy#21370']","['p111', 'p119']",5,20,3,0
90,6111,,undead,"['Aramis', 'Secret']","['Aramis#21180', 'Secret#22540']","['p072', '']",5,44,3,0
91,6109,,orc,"['WZQ', 'azuresky']","['WZQ#11347', 'azuresky#11171']","['p068', 'p056']",5,260,67,0
92,6107,,human,"['Kain', 'LoveIyArcher']","['Kain#2164', 'LoveIyArcher#1964']","['p092', 'p122']",5,20,0,0
93,6105,,human,"['lady', 'ARON']","['lady#31294', 'ARON#31412']","['', '']",5,23,3,0
94,6102,,random,"['Smurfy', 'Flayt']","['Smurfy#21830', 'Flayt#21881']","['', 'p045']",5,17,0,0
95,6098,,orc,"['kNox', 'PeNguiN']","['kNox#11897', 'PeNguiN#14419']","['p046', '']",5,26,2,0
96,6098,,orc,"['trickSy', 'MuscleMike']","['trickSy#11248', 'MuscleMike#11377']","['p006', '']",5,86,12,0
97,6097,,undead,"['RiplEy', 'Маша']","['RiplEy#21126', 'Маша#21229']","['p090', 'p077']",5,28,7,0
98,6094,,orc,"['happygodby', 'handsomeman']","['happygodby#1480', 'handsomeman#21263']","['', '']",5,62,7,0
99,6094,,random,"['Onva', 'Akee']","['Onva#1838', 'Akee#1861']","['p090', 'p088']",5,18,0,0
100,6093,,human,"['doodad', 'aGREGATION']","['doodad#21176', 'aGREGATION#2281']","['p003', 'p089']",5,54,5,0
101,6092,,orc,"['IceCream', '黑夜烏鴉']","['IceCream#12242', '黑夜烏鴉#13979']","['', '']",5,81,12,0
102,6090,,undead,"['Onva', 'Pitlord']","['Onva#1838', 'Pitlord#21961']","['p090', '']",5,39,1,0
103,6089,,night_elf,"['uAllGod', 'bez']","['uAllGod#3751', 'bez#11718']","['', '']",5,133,27,0
104,6087,,orc,"['phiL', 'LDK']","['phiL#24589', 'LDK#21919']","['p031', 'p038']",5,86,11,0
105,6083,,random,"['EmilyHuttson', 'SoRdodo']","['EmilyHuttson#1378', 'SoRdodo#1885']","['p001', '']",5,21,3,0
106,6083,,orc,"['PhoeNixFaST', 'UJJULTV']","['PhoeNixFaST#2640', 'UJJULTV#3761']","['p050', '']",5,25,2,0
107,6083,,orc,"['vanHunt', 'phiL']","['vanHunt#2155', 'phiL#24589']","['p109', 'p031']",5,71,14,0
108,6082,,human,"['vanHunt', 'NfacSahne']","['vanHunt#2155', 'NfacSahne#2469']","['p109', 'p031']",5,94,12,0
109,6082,,night_elf,"['HaNa', 'GrassYou']","['HaNa#31135', 'GrassYou#21591']","['p045', 'p045']",5,38,6,0
110,6081,,orc,"['그냥그러네', 'lady']","['그냥그러네#31268', 'lady#31294']","['p090', '']",5,17,2,0
111,6080,,random,"['Kiezel', 'ArminvB']","['Kiezel#1932', 'ArminvB#2981']","['p094', 'p052']",5,21,1,0
112,6079,,orc,"['BloodBath', 'DiOneLife']","['BloodBath#12237', 'DiOneLife#2159']","['', 'p016']",5,46,5,0
113,6078,,orc,"['巴黎街头落满樱花', '又输啦']","['巴黎街头落满樱花#3798', '又输啦#3550']","['', '']",5,31,2,0
114,6078,,night_elf,"['PhoeNixFaST', 'SalamatPO']","['PhoeNixFaST#2640', 'SalamatPO#3487']","['p050', '']",5,20,2,0
115,6076,,orc,"['Pityn30', 'LDK']","['Pityn30#2435', 'LDK#21919']","['p119', 'p038']",5,415,100,0
116,6076,,night_elf,"['IceCream', 'SoRdodo']","['IceCream#12242', 'SoRdodo#1885']","['', '']",5,1240,335,0
117,6075,,undead,"['ZeaL', 'wuyeyoumin']","['ZeaL#31431', 'wuyeyoumin#11316']","['p034', '']",5,63,6,0
118,6071,,undead,"['HowYouGen', 'AlisCool']","['HowYouGen#3840', 'AlisCool#2750']","['', 'p004']",5,29,0,0
119,6071,,orc,"['trickSy', 'MuscleMike']","['trickSy#11248', 'MuscleMike#11122']","['p006', 'p098']",5,91,13,0
120,6067,,orc,"['TrainY', 'MuscleMike']","['TrainY#21418', 'MuscleMike#11377']","['p019', '']",5,27,2,0
121,6066,,orc,"['KushMaster', 'MuscleMike']","['KushMaster#1814', 'MuscleMike#11122']","['', 'p098']",5,89,19,0
122,6062,,night_elf,"['fclqoal', '恐龙扛狼']","['fclqoal#1397', '恐龙扛狼#3611']","['p033', '']",5,19,0,0
123,6059,,random,"['Onva', 'Ekaa']","['Onva#1838', 'Ekaa#21661']","['p090', 'p008']",5,54,13,0
124,6059,,human,"['Nase', 'Blockkopf']","['Nase#21778', 'Blockkopf#2721']","['p088', 'p030']",5,34,5,0
125,6058,,undead,"['CocaCola', 'Secret']","['CocaCola#21954', 'Secret#22540']","['p057', '']",5,24,0,0
126,6056,,orc,"['PhoeNixFaST', 'GOZARANI']","['PhoeNixFaST#2640', 'GOZARANI#31686']","['p050', '']",5,20,1,0
127,6053,,random,"['RiskyMove', 'Buzz']","['RiskyMove#21867', 'Buzz#22696']","['p088', 'p086']",5,78,17,0
128,6053,,orc,"['MontuZ', 'DiOneLife']","['MontuZ#11209', 'DiOneLife#2159']","['p054', 'p016']",5,39,4,0
129,6052,,random,"['Sinae', 'Anythings']","['Sinae#2462', 'Anythings#2698']","['p003', 'p119']",5,21,3,0
130,6050,,undead,"['fclqoal', 'Spirit']","['fclqoal#1397', 'Spirit#25654']","['p033', 'p084']",5,103,13,0
131,6050,,night_elf,"['monk', 'Pokey26']","['monk#1838', 'Pokey26#1244']","['', 'p004']",5,48,7,0
132,6049,,human,"['mapio', 'Eclips']","['mapio#11236', 'Eclips#31339']","['', '']",5,30,0,0
133,6048,,human,"['KimChoonSik', 'zet']","['KimChoonSik#3287', 'zet#31118']","['', '']",5,36,4,0
134,6046,,random,"['Akee', 'Flayt']","['Akee#1861', 'Flayt#21881']","['p088', 'p045']",5,18,0,0
135,6045,,undead,"['Pokey26', 'OldMateDad']","['Pokey26#1244', 'OldMateDad#1638']","['p004', 'p039']",5,51,5,0
136,6045,,undead,"['御天多多', 'wuyeyoumin']","['御天多多#3755', 'wuyeyoumin#11316']","['', '']",5,82,12,0
137,6044,,night_elf,"['DiOneLife', 'Nawt']","['DiOneLife#2159', 'Nawt#21372']","['p016', 'p049']",5,28,5,0
138,6042,,random,"['ZeaL', 'lcyccz']","['ZeaL#31431', 'lcyccz#3391']","['p034', '']",5,26,0,0
139,6038,,human,"['MontuZ', 'sehnsucht']","['MontuZ#11209', 'sehnsucht#31604']","['p054', 'p007']",5,32,7,0
140,6037,,orc,"['Jun', 'BloodBath']","['Jun#1493', 'BloodBath#12237']","['p001', '']",5,86,10,0
141,6035,,human,"['fatigue', 'LilacLoa']","['fatigue#11453', 'LilacLoa#12232']","['p094', '']",5,102,29,0
142,6033,,human,"['Wishous', 'Sinae']","['Wishous#1866', 'Sinae#2462']","['p099', 'p003']",5,34,8,0
143,6033,,human,"['PeNguiN', 'Zostru']","['PeNguiN#14419', 'Zostru#1782']","['', 'p070']",5,20,2,0
144,6032,,human,"['OvO', '그냥그러네']","['OvO#34991', '그냥그러네#31268']","['', 'p090']",5,18,1,0
145,6032,,night_elf,"['UuSsssss', 'bez']","['UuSsssss#3611', 'bez#11718']","['', '']",5,23,4,0
146,6032,,night_elf,"['그냥그러네', 'OvO']","['그냥그러네#31268', 'OvO#34991']","['p090', '']",5,73,18,0
147,6030,,orc,"['MassOwn', 'MuscleMike']","['MassOwn#1977', 'MuscleMike#11122']","['p037', 'p098']",5,696,116,0
148,6028,,human,"['TP60', 'SPIRITMONGER']","['TP60#1751', 'SPIRITMONGER#11809']","['', '']",5,14,1,0
149,6027,,night_elf,"['trickSy', 'B1izzardiX']","['trickSy#11248', 'B1izzardiX#1277']","['p006', '']",5,33,5,0
150,6026,,human,"['ubiDaNtE', 'Nujabes']","['ubiDaNtE#2510', 'Nujabes#21345']","['p088', 'p029']",5,33,6,0
151,6026,,human,"['phiL', 'NfacSahne']","['phiL#24589', 'NfacSahne#2469']","['p031', 'p031']",5,109,26,0
152,6024,,random,"['Akee', 'Badoffan']","['Akee#1861', 'Badoffan#2437']","['p088', 'p045']",5,28,1,0
153,6023,,random,"['sharkcslee', 'KayNe']","['sharkcslee#2377', 'KayNe#31795']","['', '']",5,24,4,0
154,6023,,undead,"['ToK', 'MontuZ']","['ToK#11830', 'MontuZ#11209']","['p102', 'p054']",5,371,84,0
155,6022,,orc,"['내사랑지효님', '풋사과의반쪽']","['내사랑지효님#3766', '풋사과의반쪽#3225']","['p028', '']",5,30,6,0
156,6021,,random,"['Solo', 'iseeddppl']","['Solo#23879', 'iseeddppl#2696']","['p055', 'p113']",5,47,6,0
157,6020,,random,"['amrolay', '테드의뜨거운눈빛']","['amrolay', '테드의뜨거운눈빛#3404']","['', '']",5,13,0,0
158,6019,,night_elf,"['phiL', 'HarveySpect']","['phiL#24589', 'HarveySpect#21926']","['p031', 'p079']",5,34,8,0
159,6018,,random,"['syNtec', 'MassOwn']","['syNtec#21170', 'MassOwn#1977']","['p018', 'p037']",5,85,16,0
160,6018,,night_elf,"['handsomeman', 'bez']","['handsomeman#21263', 'bez#11718']","['', '']",5,46,8,0
161,6017,,human,"['Solo', 'Bhutan']","['Solo#23879', 'Bhutan#2936']","['p055', 'p072']",5,23,4,0
162,6016,,orc,"['orfey', 'iseeddppl']","['orfey', 'iseeddppl#2696']","['p001', 'p113']",5,60,10,0
163,6016,,night_elf,"['ltouKaiji', '恐龙扛狼']","['ltouKaiji#1305', '恐龙扛狼#3611']","['p003', '']",5,70,25,0
164,6015,,undead,"['Shaky', 'NavyElk']","['Shaky#21938', 'NavyElk#21733']","['', 'p121']",5,22,3,0
165,6015,,random,"['Smurfy', 'Badoffan']","['Smurfy#21830', 'Badoffan#2437']","['', 'p045']",5,23,1,0
166,6014,,night_elf,"['그냥그러네', 'HyoJaManDu']","['그냥그러네#31268', 'HyoJaManDu#31635']","['p090', '']",5,31,3,0
167,6014,,random,"['Erikkvo', 'DIMASAX']","['Erikkvo#2715', 'DIMASAX#2222']","['p070', '']",5,15,0,0
168,6013,,night_elf,"['풋사과의반쪽', 'mapio']","['풋사과의반쪽#3225', 'mapio#11236']","['', '']",5,114,36,0
169,6013,,orc,"['hayato', 'WelcometoWAR']","['hayato#3494', 'WelcometoWAR#1670']","['', 'p001']",5,22,1,0
170,6012,,orc,"['winsonGG', 'ltouKaiji']","['winsonGG#1547', 'ltouKaiji#1305']","['p004', 'p003']",5,20,0,0
171,6012,,orc,"['FanDeBiao', 'AriesRoseTR']","['FanDeBiao#2156', 'AriesRoseTR#3218']","['', '']",5,39,7,0
172,6011,,human,"['hebestar', 'nidedadiao']","['hebestar#1811', 'nidedadiao#1761']","['', '']",5,20,0,0
173,6010,,random,"['D3xTer', 'ImNoobUD']","['D3xTer#21492', 'ImNoobUD#2629']","['', 'p001']",5,18,1,0
174,6010,,random,"['Thaedalius', 'Kiezel']","['Thaedalius#1362', 'Kiezel#1932']","['p098', 'p094']",5,145,34,0
175,6009,,human,"['trickSy', 'KushMaster']","['trickSy#11248', 'KushMaster#1814']","['p006', '']",5,20,0,0
176,6009,,orc,"['hayato', 'Evill']","['hayato#3494', 'Evill#31871']","['', '']",5,42,6,0
177,6004,,human,"['MassOwn', 'VeritaS']","['MassOwn#1977', 'VeritaS#12148']","['p037', '']",5,112,15,0
178,6004,,random,"['mmrzero', 'MauveElekk']","['mmrzero#2401', 'MauveElekk#21399']","['', '']",5,46,10,0
179,6002,,night_elf,"['lady', '부엉이']","['lady#31294', '부엉이#32549']","['', '']",5,36,3,0
180,6002,,human,"['handsomeman', 'mlgoui']","['handsomeman#21263', 'mlgoui#1806']","['', '']",5,11,0,0
181,6002,,night_elf,"['HyoJaManDu', 'yummy']","['HyoJaManDu#31635', 'yummy#31592']","['', '']",5,17,2,0
182,6002,,orc,"['Skyfire', 'DrPeon']","['Skyfire#2832', 'DrPeon#1359']","['p029', '']",5,16,2,0
183,6001,,orc,"['Zion', 'JerKy']","['Zion#31317', 'JerKy#31779']","['', '']",5,176,40,0
184,6000,,orc,"['monk', 'POGi']","['monk#1838', 'POGi#11680']","['', '']",5,406,73,0
185,6000,,human,"['YOOOOOOOOO', 'NfacSahne']","['YOOOOOOOOO#21376', 'NfacSahne#2469']","['p102', 'p031']",5,24,2,0
186,6000,,night_elf,"['JOJO', 'FaCe2FaCe']","['JOJO#14137', 'FaCe2FaCe#21377']","['p116', 'p057']",5,41,10,0
187,5999,,orc,"['그냥그러네', 'Winter']","['그냥그러네#31268', 'Winter#31540']","['p090', '']",4,24,0,0
188,5998,,human,"['Jaydee', 'SoRdodo']","['Jaydee#21544', 'SoRdodo#1885']","['p085', '']",4,68,8,0
189,5995,,orc,"['CQ2000', 'ertgd8trd']","['CQ2000#31245', 'ertgd8trd#1355']","['', '']",4,31,11,0
190,5995,,night_elf,"['bulbber', 'focusxue']","['bulbber#1367', 'focusxue#1529']","['', '']",4,126,35,0
191,5994,,orc,"['TrickyHunter', 'TodFans']","['TrickyHunter#2149557', 'TodFans#1308']","['p037', '']",4,93,27,0
192,5989,,night_elf,"['Aramis', 'Malia']","['Aramis#21180', 'Malia#21767']","['p072', '']",4,15,1,0
193,5982,,undead,"['ddff', 'wuyeyoumin']","['ddff#11700', 'wuyeyoumin#11316']","['', '']",4,24,8,0
194,5981,,random,"['KushMaster', 'MassOwn']","['KushMaster#1814', 'MassOwn#1977']","['', 'p037']",4,264,65,0
195,5979,,night_elf,"['Abracadabra', 'chandilier']","['Abracadabra#11263', 'chandilier#3846']","['', '']",4,19,1,0
196,5975,,random,"['orfey', 'Gydra']","['orfey', 'Gydra#21560']","['p001', 'p034']",4,67,15,0
197,5974,,human,"['cH1LLeR', 'Elegnem']","['cH1LLeR#2698', 'Elegnem#2309']","['p098', 'p003']",4,23,3,0
198,5974,,night_elf,"['BloodBath', 'TheEscalator']","['BloodBath#12237', 'TheEscalator#1970']","['', '']",4,231,56,0
