rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,10000,all,random,['Chilango'],['Chilango#2420'],['p118'],7,699,45,0
2,10000,all,night_elf,['PopstarNima'],['PopstarNima#1703'],['p004'],7,50,1,0
3,9798,all,orc,['Anythings'],['Anythings#2698'],['p119'],7,438,15,0
4,8680,all,human,['ALPHA'],['ALPHA#211874'],['p119'],7,244,7,0
5,8672,all,random,['BloodBath'],['BloodBath#12237'],[''],7,59,2,0
6,8626,all,night_elf,['Bogus'],['Bogus#1733'],['p122'],7,429,14,0
7,8038,all,undead,['poljk'],['poljk#21641'],['p095'],6,67,17,0
8,7860,all,undead,['Aramis'],['Aramis#21180'],['p072'],6,111,3,0
9,7842,all,orc,['Chilango'],['Chilango#2420'],['p118'],6,165,3,0
10,7796,all,night_elf,['CdkEy'],['CdkEy#21655'],['p092'],6,230,6,0
11,7632,all,orc,['Bogus'],['Bogus#1733'],['p122'],6,200,4,0
12,7561,all,random,['Invigorate'],['Invigorate#21720'],['p081'],6,543,21,0
13,7553,all,orc,['elitepirate'],['elitepirate#2101'],['p056'],6,128,4,0
14,7528,all,random,['Vlux'],['Vlux#21693'],['p045'],6,93,21,0
15,7446,all,human,['박하사탕'],['박하사탕#31595'],['p015'],6,24,4,0
16,7130,all,orc,['ALPHA'],['ALPHA#211874'],['p119'],5,186,9,0
17,7039,all,undead,['Chilango'],['Chilango#2420'],['p118'],5,96,2,0
18,7009,all,human,['newBNET'],['newBNET#2465'],['p095'],5,176,21,0
19,7005,all,random,['박하사탕'],['박하사탕#31595'],['p015'],5,24,0,0
20,7000,all,undead,['Gionne'],['Gionne#1255'],['p004'],5,1207,208,0
21,6946,all,undead,['MaMbOkInG'],['MaMbOkInG#21595'],['p095'],5,27,3,0
22,6932,all,orc,['Teddster'],['Teddster#1274'],['p036'],5,146,6,0
23,6913,all,orc,['JerKy'],['JerKy#31779'],[''],5,609,116,0
24,6912,all,undead,['Vlux'],['Vlux#21693'],['p045'],5,9,0,0
25,6836,all,orc,['davy'],['davy#11913'],[''],5,280,17,0
26,6675,all,human,['Bogus'],['Bogus#1733'],['p122'],5,47,1,0
27,6674,all,night_elf,['Kavaky'],['Kavaky#2844'],['p050'],5,349,56,0
28,6651,all,undead,['Teutonis'],['Teutonis#2880'],['p068'],5,204,9,0
29,6634,all,human,['Shiddarta'],['Shiddarta#21550'],['p092'],5,383,45,0
30,6614,all,random,['PomYou'],['PomYou#1700'],['p121'],5,54,6,0
31,6555,all,random,['WalDelice'],['WalDelice#2594'],[''],5,396,139,0
32,6520,all,orc,['Kavaky'],['Kavaky#2844'],['p050'],5,88,22,0
33,6518,all,undead,['Anythings'],['Anythings#2698'],['p119'],5,220,11,0
34,6507,all,undead,['ALPHA'],['ALPHA#211874'],['p119'],5,16,0,0
35,6506,all,human,['MANIATICO'],['MANIATICO#11492'],[''],5,56,11,0
36,6500,all,human,['OldBoy'],['OldBoy#21370'],['p119'],5,171,3,0
37,6472,all,random,['정율'],['정율#3927'],[''],5,1303,263,0
38,6471,all,night_elf,['ALPHA'],['ALPHA#211874'],['p119'],5,26,1,0
39,6463,all,orc,['Marrdreg'],['Marrdreg#1565'],['p004'],5,29,0,0
40,6458,all,random,['gurada18'],['gurada18#3686'],['p051'],5,407,55,0
