rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,10000,random,random,['Chilango'],['Chilango#2420'],['p118'],7,699,45,0
2,8672,random,random,['BloodBath'],['BloodBath#12237'],[''],7,59,2,0
3,7561,random,random,['Invigorate'],['Invigorate#21720'],['p081'],6,543,21,0
4,7528,random,random,['Vlux'],['Vlux#21693'],['p045'],6,93,21,0
5,7005,random,random,['박하사탕'],['박하사탕#31595'],['p015'],5,24,0,0
6,6614,random,random,['PomYou'],['PomYou#1700'],['p121'],5,54,6,0
7,6555,random,random,['WalDelice'],['WalDelice#2594'],[''],5,396,139,0
8,6472,random,random,['정율'],['정율#3927'],[''],5,1303,263,0
9,6458,random,random,['gurada18'],['gurada18#3686'],['p051'],5,407,55,0
10,6394,random,random,['BOMB'],['BOMB#31327'],['p003'],5,81,6,0
11,6346,random,random,['gurada18'],['gurada18#3686'],['p051'],5,836,130,0
12,6320,random,random,['테드의뜨거운눈빛'],['테드의뜨거운눈빛#3404'],[''],5,219,21,0
13,6300,random,random,['ALPHA'],['ALPHA#211874'],['p119'],5,48,2,0
14,6277,random,random,['davy'],['davy#11913'],[''],5,359,35,0
15,6252,random,random,['hindsight202'],['hindsight202#2890'],['p004'],5,55,6,0
16,6217,random,random,['霸王蛇'],['霸王蛇#3715'],['p010'],5,127,9,0
17,6209,random,random,['Zekk'],['Zekk#1106'],[''],5,63,0,0
18,6198,random,random,['Wishous'],['Wishous#1866'],['p099'],5,22,0,0
19,6169,random,random,['lutz'],['lutz#21126'],['p056'],5,58,24,0
20,6120,random,random,['Ian'],['Ian#13182'],[''],5,98,3,0
21,6120,random,random,['yoddham'],['yoddham#1947'],['p032'],5,386,96,0
22,6109,random,random,['IreneSupaFan'],['IreneSupaFan#1506'],[''],5,154,22,0
23,6086,random,random,['ilares'],['ilares#2227'],['p050'],5,43,3,0
24,6057,random,random,['CoLeXuS'],['CoLeXuS#2963'],['p056'],5,232,48,0
25,6055,random,random,['IreneSupaFan'],['IreneSupaFan#1506'],[''],5,15,1,0
