rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,5624,random,random,['Joggel'],['Joggel#11987'],['p003'],4,30,2,0
2,5460,random,random,['goldeneyez'],['goldeneyez#1578'],[''],4,65,1,0
3,5439,random,random,['Аркон'],['Аркон#21426'],['p003'],4,34,2,0
4,5437,random,random,['Nucky'],['Nucky#21667'],['p113'],4,14,3,0
5,5402,random,random,['brightpaw'],['brightpaw#11902'],[''],4,47,2,0
6,5389,random,random,['Frog'],['Frog#13347'],[''],4,134,15,0
7,5382,random,random,['ScubaSteve00'],['ScubaSteve00#1472'],[''],4,261,13,0
8,5332,random,random,['MightyWonka'],['MightyWonka#2298'],['p085'],4,20,0,0
9,5304,random,random,['OsK'],['OsK#21212'],['p026'],4,59,5,0
10,5303,random,random,['Hydra'],['Hydra#22873'],[''],4,9,0,0
11,5303,random,random,['LoneAssassin'],['LoneAssassin#11451'],[''],4,24,6,0
12,5299,random,random,['DeRetour'],['DeRetour#21911'],['p003'],4,23,1,0
13,5297,random,random,['Dinamo'],['Dinamo#21662'],['p054'],4,18,1,0
14,5295,random,random,['Zweroga'],['Zweroga#1602'],[''],4,62,1,0
15,5291,random,random,['Zeboox'],['Zeboox#2781'],['p113'],4,178,15,0
16,5286,random,random,['defnotacop'],['defnotacop#2585'],['p039'],4,29,0,0
17,5279,random,random,['Lucefer'],['Lucefer#21833'],['p018'],4,13,0,0
18,5277,random,random,['TurtleRock'],['TurtleRock#31737'],[''],4,1286,73,0
19,5276,random,random,['ЧудоГном'],['ЧудоГном#230658'],['p109'],4,30,0,0
20,5272,random,random,['gartoll'],['gartoll#2127'],['p003'],4,15,0,0
21,5262,random,random,['Hello'],['Hello#1170'],[''],4,19,1,0
22,5259,random,random,['Dinhjio'],['Dinhjio#2610'],[''],4,20,0,0
23,5254,random,random,['Orthwood'],['Orthwood#2847'],['p027'],4,53,7,0
24,5252,random,random,['Skynet'],['Skynet#1817'],[''],4,29,0,0
25,5249,random,random,['bubl'],['bubl#21991'],['p068'],4,10,0,0
