rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,6466,random,random,['MagicGnome'],['MagicGnome#221204'],['p001'],5,76,8,0
2,6450,random,random,['drǃbucki'],['drǃbucki#2383'],['p109'],5,56,9,0
3,6381,random,random,['StarBuck'],['StarBuck#2732'],['p110'],5,88,16,0
4,6280,random,random,['ihavenonick'],['ihavenonick#21244'],['p018'],5,91,13,0
5,6276,random,random,['kor'],['kor#21693'],['p022'],5,74,14,0
6,6228,random,random,['DoSa'],['DoSa#31427'],['p073'],5,74,19,0
7,6228,random,random,['BloodBath'],['BloodBath#12237'],[''],5,23,2,0
8,6226,random,random,['Scars'],['Scars#21432'],['p075'],5,33,3,0
9,6224,random,random,['panghu'],['panghu#21169'],['p056'],5,9,1,0
10,6175,random,random,['SaysO'],['SaysO#1534'],[''],5,127,35,0
11,6159,random,random,['TP60'],['TP60#1751'],[''],5,26,2,0
12,6123,random,random,['PriesT'],['PriesT#12455'],['p027'],5,22,5,0
13,6108,random,random,['zeLt'],['zeLt#2310'],['p088'],5,32,12,0
14,6097,random,random,['DoSa'],['DoSa#31427'],['p073'],5,188,58,0
15,6090,random,random,['gurada18'],['gurada18#3686'],['p051'],5,232,116,0
16,6083,random,random,['tRid3nt'],['tRid3nt#2910'],['p112'],5,9,2,0
17,6082,random,random,['Slater'],['Slater#21345'],['p121'],5,45,13,0
18,6080,random,random,['eNVy'],['eNVy#1781'],[''],5,16,4,0
19,6073,random,random,['doodad'],['doodad#21176'],['p003'],5,399,191,0
20,6072,random,random,['SkLiP'],['SkLiP#2306'],['p111'],5,186,63,0
21,6037,random,random,['justD'],['justD#11940'],['p109'],5,17,4,0
22,6034,random,random,['Pokey26'],['Pokey26#1244'],['p004'],5,127,38,0
23,6033,random,random,['lllIIllllIII'],['lllIIllllIII#1312'],[''],5,127,57,0
24,6032,random,random,['wRoNgTuRn'],['wRoNgTuRn#2523'],['p004'],5,193,46,0
25,6022,random,random,['Opeth'],['Opeth#21935'],['p092'],5,20,2,0
