rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,5667,all,human,['Sinae'],['Sinae#2462'],['p003'],4,6,0,0
2,5647,all,orc,['노는흑마'],['노는흑마#3730'],[''],4,54,0,0
3,5624,all,random,['Joggel'],['Joggel#11987'],['p003'],4,30,2,0
4,5509,all,orc,['이영수'],['이영수#31691'],[''],4,17,0,0
5,5457,all,human,['낙돌군'],['낙돌군#3202'],[''],4,51,1,0
6,5453,all,random,['goldeneyez'],['goldeneyez#1578'],[''],4,69,1,0
7,5439,all,random,['Аркон'],['Аркон#21426'],['p003'],4,34,2,0
8,5437,all,random,['Nucky'],['Nucky#21667'],['p113'],4,14,3,0
9,5425,all,orc,['BoozyMaster'],['BoozyMaster#2768'],['p073'],4,95,16,0
10,5421,all,night_elf,['KutilTim'],['KutilTim#2697'],['p003'],4,120,22,0
11,5405,all,human,['BARD'],['BARD#2271'],['p113'],4,34,1,0
12,5402,all,random,['brightpaw'],['brightpaw#11902'],[''],4,47,2,0
13,5399,all,orc,['Rain'],['Rain#18773'],['p075'],4,32,0,0
14,5395,all,orc,['DeniskaEE'],['DeniskaEE#2150'],['p001'],4,31,1,0
15,5389,all,random,['Frog'],['Frog#13347'],[''],4,134,15,0
16,5382,all,random,['ScubaSteve00'],['ScubaSteve00#1472'],[''],4,261,13,0
17,5374,all,undead,['Classified'],['Classified#21326'],['p105'],4,68,2,0
18,5347,all,orc,['Inoue'],['Inoue#21434'],['p004'],4,22,5,0
19,5345,all,human,['BloodOxide'],['BloodOxide#11686'],[''],4,48,2,0
20,5342,all,human,['nsoo85'],['nsoo85#1243'],['p003'],4,23,1,0
21,5339,all,orc,['Noobest'],['Noobest#21154'],['p003'],4,41,2,0
22,5332,all,random,['MightyWonka'],['MightyWonka#2298'],['p085'],4,20,0,0
23,5314,all,human,['ooAUSPICEoo'],['ooAUSPICEoo#1415'],[''],4,56,0,0
24,5310,all,human,['boxx1e'],['boxx1e#2911'],['p070'],4,297,16,0
25,5309,all,orc,['SPQR'],['SPQR#22588'],['p028'],4,9,0,0
26,5304,all,random,['OsK'],['OsK#21212'],['p026'],4,59,5,0
27,5303,all,random,['Hydra'],['Hydra#22873'],[''],4,9,0,0
28,5303,all,random,['LoneAssassin'],['LoneAssassin#11451'],[''],4,24,6,0
29,5300,all,undead,['DarkWaRren'],['DarkWaRren#21713'],['p041'],4,37,1,0
30,5300,all,orc,['JohnBob'],['JohnBob#2913'],['p031'],4,31,0,0
31,5299,all,orc,['Starssuckers'],['Starssuckers#2989'],['p039'],4,35,1,0
32,5299,all,human,['Ostwestfale'],['Ostwestfale#21717'],['p003'],4,31,0,0
33,5299,all,random,['DeRetour'],['DeRetour#21911'],['p003'],4,23,1,0
34,5298,all,orc,['StarBarlinNZ'],['StarBarlinNZ#1629'],[''],4,102,8,0
35,5297,all,random,['Dinamo'],['Dinamo#21662'],['p054'],4,18,1,0
36,5295,all,human,['victim'],['victim#21446'],['p028'],4,10,0,0
37,5295,all,random,['Zweroga'],['Zweroga#1602'],[''],4,62,1,0
38,5295,all,human,['sofapotato'],['sofapotato#1639'],[''],4,146,18,0
39,5294,all,random,['TurtleRock'],['TurtleRock#31737'],[''],4,1288,73,0
40,5291,all,orc,['Arhilamer'],['Arhilamer#2469'],[''],4,31,0,0
41,5291,all,random,['Zeboox'],['Zeboox#2781'],['p113'],4,178,15,0
42,5290,all,night_elf,['DirtyChicken'],['DirtyChicken#21413'],[''],4,14,1,0
43,5288,all,human,['RRTTSS'],['RRTTSS#21316'],['p003'],4,92,7,0
44,5286,all,random,['defnotacop'],['defnotacop#2585'],['p039'],4,29,0,0
45,5284,all,orc,['grimfoLf'],['grimfoLf#2905'],['p068'],4,27,0,0
46,5283,all,orc,['PinkPony'],['PinkPony#21258'],['p003'],4,56,5,0
47,5283,all,orc,['Lena0verwat4'],['Lena0verwat4#2387'],['p088'],4,9,1,0
48,5280,all,night_elf,['Jinvvar'],['Jinvvar#2488'],['p071'],4,21,0,0
49,5279,all,random,['Lucefer'],['Lucefer#21833'],['p018'],4,13,0,0
50,5278,all,orc,['gozzilla'],['gozzilla#21937'],['p002'],4,134,11,0
51,5277,all,night_elf,['brightpaw'],['brightpaw#11902'],[''],4,42,1,0
52,5276,all,random,['ЧудоГном'],['ЧудоГном#230658'],['p109'],4,30,0,0
53,5276,all,orc,['남포동가물치'],['남포동가물치#3205'],[''],4,514,16,0
54,5275,all,human,['jaq667'],['jaq667#2243'],['p027'],4,28,2,0
55,5275,all,human,['ХитрыйВиктор'],['ХитрыйВиктор#2185'],['p035'],4,58,0,0
56,5274,all,orc,['ProMAX'],['ProMAX#11565'],[''],4,36,0,0
57,5274,all,human,['Polyscias'],['Polyscias#31788'],[''],4,11,0,0
58,5272,all,random,['gartoll'],['gartoll#2127'],['p003'],4,15,0,0
59,5271,all,orc,['Xou'],['Xou#2515'],['p068'],4,14,1,0
60,5271,all,night_elf,['Aries'],['Aries#2694'],['p085'],4,23,1,0
61,5270,all,undead,['Gionne'],['Gionne#1255'],['p004'],4,40,1,0
62,5268,all,orc,['Fanton4ini'],['Fanton4ini#2945'],['p068'],4,78,5,0
63,5268,all,orc,['victim'],['victim#21446'],['p028'],4,38,3,0
64,5268,all,night_elf,['AncientFort'],['AncientFort#2101'],['p086'],4,64,1,0
65,5268,all,orc,['Diller15140'],['Diller15140#2525'],['p001'],4,26,3,0
66,5264,all,human,['mking'],['mking#3708'],[''],4,556,19,0
67,5264,all,undead,['fiend'],['fiend#11550'],[''],4,45,2,0
