rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,6834,undead,undead,['Anythings'],['Anythings#2698'],['p119'],5,120,28,0
2,6781,undead,undead,['uAllGod'],['uAllGod#3751'],[''],5,84,9,0
3,6742,undead,undead,['Blast'],['Blast#22768'],['p109'],5,181,57,0
4,6707,undead,undead,['EmilyHuttson'],['EmilyHuttson#1378'],['p001'],5,176,40,0
5,6658,undead,undead,['FanDeBiao'],['FanDeBiao#2156'],[''],5,43,7,0
6,6620,undead,undead,['wuyeyoumin'],['wuyeyoumin#11316'],[''],5,88,19,0
7,6574,undead,undead,['MoLi'],['MoLi#31166'],[''],5,61,7,0
8,6556,undead,undead,['ZueD'],['ZueD#2774'],['p043'],5,45,4,0
9,6547,undead,undead,['spycreed'],['spycreed#2536'],['p009'],5,60,9,0
10,6540,undead,undead,['EmilyHuttson'],['EmilyHuttson#1378'],['p001'],5,89,22,0
11,6524,undead,undead,['HLA'],['HLA#21875'],[''],5,22,1,0
12,6523,undead,undead,['Faker1337'],['Faker1337#3972'],['p001'],5,158,55,0
13,6504,undead,undead,['SoMuch'],['SoMuch#11627'],[''],5,28,0,0
14,6498,undead,undead,['Liqs'],['Liqs#21977'],['p004'],5,44,6,0
15,6490,undead,undead,['NightEnD'],['NightEnD#2938'],['p001'],5,46,5,0
16,6456,undead,undead,['crazytiger'],['crazytiger#31426'],[''],5,49,8,0
17,6445,undead,undead,['iceweever'],['iceweever#3248'],[''],5,5,1,0
18,6439,undead,undead,['eRRePe'],['eRRePe#2745'],['p056'],5,12,1,0
19,6423,undead,undead,['eRRePe'],['eRRePe#2745'],['p056'],5,89,34,0
20,6421,undead,undead,['Apocalypse'],['Apocalypse#13280'],[''],5,94,25,0
21,6416,undead,undead,['iceweever'],['iceweever#3248'],[''],5,16,4,0
22,6402,undead,undead,['jaM'],['jaM#3253'],[''],5,46,9,0
23,6396,undead,undead,['Arashicage'],['Arashicage#11900'],[''],5,36,5,0
24,6382,undead,undead,['LabyRinth'],['LabyRinth#3113'],[''],5,21,1,0
25,6376,undead,undead,['wuyeyoumin'],['wuyeyoumin#11316'],[''],5,86,28,0
26,6361,undead,undead,['OldMateDad'],['OldMateDad#1638'],['p039'],5,60,6,0
27,6349,undead,undead,['ТакиДа'],['ТакиДа#21309'],['p116'],5,39,5,0
28,6347,undead,undead,['praflo'],['praflo#2472'],['p081'],5,124,56,0
29,6342,undead,undead,['skyplague'],['skyplague#11228'],[''],5,48,12,0
30,6340,undead,undead,['DoNotWinMe'],['DoNotWinMe#1357'],['p010'],5,73,9,0
31,6338,undead,undead,['XingKong'],['XingKong#31370'],[''],5,42,11,0
32,6320,undead,undead,['Alexchen'],['Alexchen#1810'],[''],5,85,25,0
33,6315,undead,undead,['RiverFlow'],['RiverFlow#1456'],[''],5,29,1,0
34,6274,undead,undead,['oT100u'],['oT100u#2291'],['p119'],5,168,55,0
35,6271,undead,undead,['MoLi'],['MoLi#31166'],[''],5,19,1,0
36,6271,undead,undead,['Deathwing'],['Deathwing#12439'],[''],5,20,2,0
37,6268,undead,undead,['dontwantwork'],['dontwantwork#3305'],[''],5,41,7,0
38,6261,undead,undead,['EmilyHuttson'],['EmilyHuttson#1378'],['p001'],5,100,39,0
39,6257,undead,undead,['Leta'],['Leta#21458'],['p038'],5,14,0,0
40,6252,undead,undead,['ТакиДа'],['ТакиДа#21309'],['p116'],5,28,2,0
41,6248,undead,undead,['IllIIlIlllII'],['IllIIlIlllII#2302'],['p039'],5,18,1,0
42,6242,undead,undead,['slash1984'],['slash1984#21762'],['p083'],5,385,198,0
43,6229,undead,undead,['Joseph'],['Joseph#15242'],[''],5,182,78,0
44,6228,undead,undead,['Axslav'],['Axslav#11455'],[''],5,15,0,0
45,6226,undead,undead,['Mway'],['Mway#2927'],['p081'],5,43,15,0
46,6202,undead,undead,['小蛙'],['小蛙#3582'],[''],5,129,73,0
47,6188,undead,undead,['zairongliu'],['zairongliu#3779'],['p039'],5,10,0,0
48,6183,undead,undead,['bez'],['bez#11718'],[''],5,13,0,0
49,6167,undead,undead,['Anastasia'],['Anastasia#22904'],['p035'],5,15,1,0
50,6161,undead,undead,['XingKong'],['XingKong#31370'],[''],5,44,20,0
51,6161,undead,undead,['adoveov'],['adoveov#2333'],['p083'],5,27,5,0
52,6157,undead,undead,['Cuddle'],['Cuddle#11585'],[''],5,48,8,0
53,6151,undead,undead,['happygodby'],['happygodby#1480'],[''],5,48,14,0
54,6144,undead,undead,['battlemage99'],['battlemage99#1199'],['p054'],5,9,0,0
55,6138,undead,undead,['hayato'],['hayato#3494'],[''],5,80,36,0
56,6135,undead,undead,['StarrySkyCup'],['StarrySkyCup#3509'],[''],5,52,20,0
57,6127,undead,undead,['虐杀芒果黑胖狗儿'],['虐杀芒果黑胖狗儿#3748'],[''],5,34,10,0
58,6119,undead,undead,['CaseyJones'],['CaseyJones#21842'],['p022'],5,30,7,0
59,6110,undead,undead,['eureka'],['eureka#11502'],[''],5,15,2,0
