rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,6249,human,human,['nidedadiao'],['nidedadiao#1761'],[''],5,21,1,0
2,6163,human,human,['SsuSsu'],['SsuSsu#31257'],['p028'],5,27,4,0
3,6102,human,human,['BoX'],['BoX#12802'],[''],5,13,0,0
4,6085,human,human,['amrolay'],['amrolay'],[''],5,13,0,0
5,6025,human,human,['gaudi'],['gaudi#1914'],[''],5,12,0,0
6,6016,human,human,['Avernus'],['Avernus#2393'],['p111'],5,10,0,0
7,5988,human,human,['SaltyShrew'],['SaltyShrew#1169'],['p093'],4,19,3,0
8,5944,human,human,['mlgoui'],['mlgoui#1806'],[''],4,8,0,0
9,5926,human,human,['kamftiger'],['kamftiger#21160'],[''],4,10,1,0
10,5915,human,human,['FenixGaming'],['FenixGaming#11910'],['p047'],4,13,2,0
11,5867,human,human,['Maxxiko'],['Maxxiko#2671'],['p110'],4,17,2,0
12,5841,human,human,['KouNokyzu'],['KouNokyzu#2433'],['p019'],4,10,1,0
13,5807,human,human,['Waves'],['Waves#21341'],[''],4,12,1,0
14,5803,human,human,['Halo'],['Halo#31766'],[''],4,7,0,0
15,5796,human,human,['Senti'],['Senti#2698'],['p029'],4,12,1,0
16,5777,human,human,['Zizo'],['Zizo#21133'],['p042'],4,14,5,0
17,5773,human,human,['warwarwar'],['warwarwar#21864'],[''],4,9,1,0
18,5769,human,human,['Smallmealkit'],['Smallmealkit#3455'],['p007'],4,7,0,0
19,5763,human,human,['shingle'],['shingle#11855'],['p030'],4,15,3,0
20,5759,human,human,['EileenGu'],['EileenGu#3759'],[''],4,39,18,0
21,5756,human,human,['K11'],['K11#21335'],['p002'],4,13,2,0
22,5753,human,human,['ObiWan'],['ObiWan#11972'],[''],4,6,0,0
23,5742,human,human,['SoNNy'],['SoNNy#22731'],['p030'],4,13,5,0
24,5732,human,human,['RPTRFoggy'],['RPTRFoggy#2278'],['p004'],4,6,0,0
25,5732,human,human,['Phenomenon'],['Phenomenon#2609'],['p003'],4,24,9,0
