rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,5722,human,human,['Ganji'],['Ganji#21187'],['p027'],4,8,0,0
2,5372,human,human,['Rittscher'],['Rittscher#2696'],['p001'],4,5,1,0
3,5342,human,human,['RenAndStimpy'],['RenAndStimpy#2365'],[''],4,6,2,0
4,5174,human,human,['Al007'],['Al007#11438'],[''],4,4,1,0
5,5103,human,human,['Dexter21'],['Dexter21#1641'],[''],4,3,2,0
6,5095,human,human,['순수한박하곰'],['순수한박하곰#31278'],[''],4,6,3,0
7,4994,human,human,['p12546321654'],['p12546321654#2799'],['p027'],3,3,3,0
8,4894,human,human,['anquimar7'],['anquimar7#1122'],['p069'],3,4,2,0
9,4854,human,human,['DeadlyMouse'],['DeadlyMouse#3850'],[''],3,2,4,0
10,4793,human,human,['macdaddy'],['macdaddy#31633'],[''],3,2,3,0
11,4772,human,human,['Qpid1'],['Qpid1#1222'],[''],3,3,2,0
12,4736,human,human,['MrMeeSeeks'],['MrMeeSeeks#12848'],[''],3,1,4,0
13,4686,human,human,['GJGCAPTAIN'],['GJGCAPTAIN#3883'],[''],3,2,4,0
14,4684,human,human,['BlackPanther'],['BlackPanther#23297'],[''],3,3,5,0
15,4593,human,human,['스케이터'],['스케이터#3530'],[''],3,4,7,0
16,4448,human,human,['BlackSheep'],['BlackSheep#22169'],['p048'],3,2,6,0
17,4279,human,human,['ShadowDragon'],['ShadowDragon#112306'],[''],3,0,5,0
18,3926,human,human,['FrostyDog'],['FrostyDog#1220451'],[''],2,4,19,0
