rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,8273,all,orc,['Anythings'],['Anythings#2698'],['p119'],6,106,4,0
2,8233,all,undead,['MANIATICO'],['MANIATICO#11492'],[''],6,117,12,0
3,7818,all,random,['Chilango'],['Chilango#2420'],['p118'],6,79,5,0
4,7778,all,undead,['DaroO'],['DaroO#21297'],['p107'],6,49,0,0
5,7429,all,orc,['KingEddel'],['KingEddel#2983'],['p121'],6,27,1,0
6,6657,all,orc,['Andross'],['Andross#1523'],[''],5,252,30,0
7,6543,all,night_elf,['Bogus'],['Bogus#1733'],['p079'],5,40,3,0
8,6473,all,random,['정율'],['정율#3927'],[''],5,93,12,0
9,6369,all,undead,['ReignDrops'],['ReignDrops#1563'],[''],5,98,10,0
10,6350,all,random,['Unicron'],['Unicron#21778'],['p112'],5,71,18,0
11,6308,all,random,['ReprisaL'],['ReprisaL#3336'],[''],5,108,11,0
12,6289,all,orc,['MANIATICO'],['MANIATICO#11492'],[''],5,9,0,0
13,6278,all,night_elf,['Seaphi'],['Seaphi#4432'],[''],5,69,1,0
14,6257,all,orc,['Chilango'],['Chilango#2420'],['p118'],5,56,1,0
15,6246,all,human,['Sinae'],['Sinae#2462'],['p003'],5,23,1,0
16,6244,all,orc,['Gaspari'],['Gaspari#21992'],['p119'],5,88,17,0
17,6215,all,random,['gurada18'],['gurada18#3686'],['p051'],5,53,3,0
18,6199,all,random,['davy'],['davy#11913'],[''],5,67,7,0
19,6165,all,orc,['JerKy'],['JerKy#31779'],[''],5,74,12,0
20,6154,all,night_elf,['Irregular'],['Irregular#21617'],['p039'],5,12,0,0
21,6110,all,random,['Anythings'],['Anythings#2698'],['p119'],5,43,1,0
22,6105,all,random,['Victory'],['Victory#1116'],['p112'],5,30,3,0
23,6073,all,undead,['P07470'],['P07470#11292'],[''],5,40,14,0
24,6041,all,night_elf,['Itchybuthole'],['Itchybuthole#11938'],[''],5,12,1,0
25,6021,all,human,['Slow'],['Slow#31256'],[''],5,115,41,0
26,6020,all,orc,['ALPHA'],['ALPHA#211874'],['p119'],5,67,3,0
27,6013,all,human,['firestarsm'],['firestarsm#3672'],['p002'],5,52,6,0
28,6011,all,random,['박하사탕'],['박하사탕#31595'],['p015'],5,33,0,0
29,5952,all,undead,['BlooDAnDSanD'],['BlooDAnDSanD#2755'],['p103'],4,137,26,0
30,5941,all,random,['BobbyBe'],['BobbyBe#2769'],['p056'],4,22,3,0
31,5917,all,human,['원펀맨'],['원펀맨#31479'],[''],4,44,6,0
32,5910,all,night_elf,['Wizard'],['Wizard#21433'],['p103'],4,20,0,0
33,5908,all,orc,['SonKiE'],['SonKiE#1704'],['p001'],4,44,13,0
34,5898,all,night_elf,['DIDI8'],['DIDI8#21714'],['p003'],4,73,29,0
35,5887,all,random,['Georges'],['Georges#21607'],[''],4,19,8,0
36,5873,all,orc,['Reign'],['Reign#2572'],['p038'],4,41,10,0
37,5863,all,random,['gingerkiller'],['gingerkiller#2188'],['p088'],4,28,11,0
38,5859,all,human,['victim'],['victim#21446'],['p028'],4,34,11,0
39,5853,all,night_elf,['Sixa'],['Sixa#21544'],['p054'],4,27,1,0
40,5850,all,random,['yoddham'],['yoddham#1947'],['p088'],4,18,4,0
41,5831,all,undead,['terqm'],['terqm#1326'],[''],4,61,14,0
42,5828,all,undead,['AntykreatoR'],['AntykreatoR#21426'],['p081'],4,55,8,0
43,5815,all,orc,['Pwr'],['Pwr#31910'],[''],4,39,17,0
44,5813,all,human,['Impulse'],['Impulse#22117'],['p113'],4,30,3,0
45,5804,all,orc,['SwiftJuliE'],['SwiftJuliE#1679'],[''],4,24,4,0
46,5799,all,undead,['Kosmos87'],['Kosmos87#2286'],['p095'],4,24,1,0
