rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,5775,,orc,"['Chilango', 'Aramis', 'CdkEy', 'ALPHA']","['Chilango#2420', 'Aramis#21180', 'CdkEy#21655', 'ALPHA#211874']","['p118', 'p088', 'p117', 'p119']",4,64,1,0
2,5767,,night_elf,"['그냥그러네', 'ReprisaL', 'ZeaL', 'HaNa']","['그냥그러네#31268', 'ReprisaL#3336', 'ZeaL#31431', 'HaNa#31135']","['p090', '', 'p034', 'p045']",4,73,1,0
3,5632,,night_elf,"['Delroy', 'tickle', 'Tax', 'SeaDogTreeAx']","['Delroy#1803', 'tickle#11598', 'Tax#11638', 'SeaDogTreeAx#1939']","['', '', '', '']",4,42,1,0
4,5612,,night_elf,"['LiNSiCKeL', 'KsEAfteRShoK', 'CRAiGG', 'azadismind']","['LiNSiCKeL#1694', 'KsEAfteRShoK#1796', 'CRAiGG#1151', 'azadismind#1665']","['', 'p008', '', '']",4,29,1,0
5,5531,,orc,"['하루에세번', 'Tricky', 'Remaster', 'ShowTime']","['하루에세번#3532', 'Tricky#3454', 'Remaster#31980', 'ShowTime#34896']","['', '', '', '']",4,16,0,0
6,5517,,night_elf,"['Grrr', 'Breeze', 'PainSlayer', 'asdflkjasdlf']","['Grrr#31152', 'Breeze#31124', 'PainSlayer#3283', 'asdflkjasdlf#3766']","['', '', '', '']",4,54,4,0
7,5498,,orc,"['Hobo', 'Beazley', 'Loxdown', 'legalese']","['Hobo#12586', 'Beazley#11340', 'Loxdown#1155', 'legalese#11103']","['', '', '', '']",4,13,0,0
8,5481,,random,"['그냥그러네', 'ZeaL', 'HaNa', 'Gazlowe']","['그냥그러네#31268', 'ZeaL#31431', 'HaNa#31135', 'Gazlowe#31807']","['p090', 'p034', 'p045', '']",4,28,0,0
9,5466,,orc,"['MaxPayNe', 'Tricky', 'turtleoh', 'JerKy']","['MaxPayNe#3137', 'Tricky#3454', 'turtleoh#3816', 'JerKy#31779']","['', '', '', '']",4,16,0,0
10,5466,,orc,"['Tax', 'Starlight', 'Gemetzel', 'TOD']","['Tax#11638', 'Starlight#12675', 'Gemetzel#11271', 'TOD#22283']","['', '', '', '']",4,21,0,0
11,5449,,random,"['그냥그러네', 'ReprisaL', 'ZeaL', 'Gazlowe']","['그냥그러네#31268', 'ReprisaL#3336', 'ZeaL#31431', 'Gazlowe#31807']","['p090', '', 'p034', '']",4,13,0,0
12,5435,,orc,"['MaxPayNe', 'Zion', 'turtleoh', 'JerKy']","['MaxPayNe#3137', 'Zion#31317', 'turtleoh#3816', 'JerKy#31779']","['', '', '', '']",4,22,0,0
13,5431,,random,"['Witcom', 'HoWarD', 'Bob1', 'Scoobers']","['Witcom#21409', 'HoWarD#21143', 'Bob1#21376', 'Scoobers#2480']","['p113', 'p056', 'p093', 'p091']",4,7,0,0
14,5420,,undead,"['Bogus', 'CdkEy', 'JeanRobert75', 'ALPHA']","['Bogus#1733', 'CdkEy#21655', 'JeanRobert75#2318', 'ALPHA#211874']","['p079', 'p117', 'p121', 'p119']",4,20,0,0
15,5409,,night_elf,"['Fugacity', 'MerLiN', 'XArchangelX', 'HuaHua']","['Fugacity#1160', 'MerLiN#13929', 'XArchangelX#11148', 'HuaHua#11934']","['p051', '', '', '']",4,31,4,0
16,5401,,human,"['Chutieu', 'ReignDrops', 'VenaSeneK', '정율']","['Chutieu#1653', 'ReignDrops#1563', 'VenaSeneK#1857', '정율#3927']","['p004', '', 'p042', '']",4,11,0,0
17,5400,,random,"['젬젬', 'BBAC', 'PainSlayer', '황실의종친']","['젬젬#31908', 'BBAC#31314', 'PainSlayer#3283', '황실의종친#3495']","['', '', '', '']",4,21,0,0
