rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,5242,human,human,['ShadowDragon'],['ShadowDragon#1116694'],[''],4,81,1,0
2,5229,human,human,['brightpaw'],['brightpaw#11902'],[''],4,49,1,0
3,5216,human,human,['ShadowDragon'],['ShadowDragon#1116694'],[''],4,21,0,0
4,5214,human,human,['Sinae'],['Sinae#2462'],['p003'],4,33,2,0
5,5192,human,human,['HappyFeet'],['HappyFeet#1217235'],[''],4,28,0,0
6,5182,human,human,['PepitoGrillo'],['PepitoGrillo#2749'],['p071'],4,20,0,0
7,5159,human,human,['boxx1e'],['boxx1e#2911'],['p070'],4,19,0,0
8,5149,human,human,['berberic'],['berberic#2958'],['p032'],4,34,2,0
9,5139,human,human,['OnyxRhino'],['OnyxRhino#15536'],[''],4,8,1,0
10,5128,human,human,['낙돌군'],['낙돌군#3202'],[''],4,15,0,0
11,5123,human,human,['samagas'],['samagas#21783'],['p029'],4,10,0,0
12,5119,human,human,['maciejka'],['maciejka#21163'],['p030'],4,13,0,0
13,5107,human,human,['MangoHound'],['MangoHound#12442'],[''],4,12,1,0
14,5106,human,human,['fulltime'],['fulltime#1380'],[''],4,7,0,0
15,5103,human,human,['RiverFlow'],['RiverFlow#1456'],[''],4,3,0,0
16,5102,human,human,['AOCDTF2'],['AOCDTF2#2423'],['p028'],4,12,2,0
17,5102,human,human,['Omarabed'],['Omarabed#2505'],[''],4,9,1,0
18,5099,human,human,['sofapotato'],['sofapotato#1639'],[''],4,5,0,0
19,5096,human,human,['Wishous'],['Wishous#1866'],['p099'],4,5,1,0
20,5096,human,human,['Lichtprotoss'],['Lichtprotoss#210332'],[''],4,23,3,0
21,5096,human,human,['ponpondu54'],['ponpondu54#2126'],['p072'],4,9,0,0
22,5091,human,human,['defnotacop'],['defnotacop#2585'],['p039'],4,6,0,0
23,5090,human,human,['ElectroNico'],['ElectroNico#2159'],[''],4,6,0,0
24,5081,human,human,['NoobCarrier'],['NoobCarrier#2816'],['p003'],4,11,0,0
25,5080,human,human,['JJTabasco'],['JJTabasco#1661'],['p003'],4,6,0,0
