rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,6453,human,human,['MagicGnome'],['MagicGnome#221204'],['p001'],5,35,3,0
2,6344,human,human,['Changer'],['Changer#21493'],['p092'],5,25,3,0
3,6209,human,human,['hebestar'],['hebestar#1811'],[''],5,120,23,0
4,5843,human,human,['TriFract'],['TriFract#2981'],['p070'],4,86,6,0
5,5820,human,human,['Al007'],['Al007#11438'],[''],4,317,178,0
6,5763,human,human,['Hiro'],['Hiro#22106'],['p004'],4,36,10,0
7,5625,human,human,['MisterWinner'],['MisterWinner#21927'],['p031'],4,36,24,0
8,5536,human,human,['Ganji'],['Ganji#21187'],['p027'],4,1021,714,0
9,5524,human,human,['Psyca'],['Psyca#11785'],[''],4,132,45,0
10,5513,human,human,['Utopi'],['Utopi#21783'],['p109'],4,58,32,0
11,5446,human,human,['EliteSAric'],['EliteSAric#2117'],['p039'],4,26,15,0
12,5418,human,human,['warwarwar'],['warwarwar#21864'],[''],4,7,0,0
13,5404,human,human,['진주'],['진주#3932'],['p071'],4,186,129,0
14,5376,human,human,['DonLee'],['DonLee#21275'],['p039'],4,5,1,0
15,5372,human,human,['K11'],['K11#21335'],['p002'],4,87,5,0
16,5287,human,human,['T4xus'],['T4xus#2783'],['p032'],4,543,406,0
17,5233,human,human,['WolfWarriors'],['WolfWarriors#31617'],['p027'],4,97,65,0
18,5231,human,human,['Malefikh'],['Malefikh#2331'],['p001'],4,22,10,0
19,5211,human,human,['Rittscher'],['Rittscher#2696'],['p001'],4,92,64,0
20,5193,human,human,['StephenZhou'],['StephenZhou#11101'],[''],4,210,143,0
21,5193,human,human,['TonyMontana'],['TonyMontana#21901'],[''],4,450,323,0
22,5171,human,human,['BobDealer'],['BobDealer#2426'],['p002'],4,114,87,0
23,5163,human,human,['AUV2020'],['AUV2020#2817'],['p072'],4,136,109,0
24,5121,human,human,['HeirofAngmar'],['HeirofAngmar#2671'],['p090'],4,207,148,0
25,5107,human,human,['BlackWolve'],['BlackWolve#21400'],['p068'],4,28,19,0
